title,author,length
Physics of the Apocalypse 2,Dimitrios Gkirgkiris,Length: 12 hrs and 55 mins
The Marriage Lie,Kimberly Belle,Length: 10 hrs and 27 mins
The Fall of Cadia,Robert Rath,Length: 19 hrs and 42 mins
The Legacy of the Rocking K Ranch,"Mary Connealy,D.J. Gudger,Becca Whitham,Kimberly Woodhouse",Length: 10 hrs and 31 mins
Black Ocean: Mirth & Mayhem Complete Collection,J.S. Morin,Length: 91 hrs and 5 mins
Accidentally Ours,Erin Hawkins,Length: 11 hrs and 40 mins
Fire and Ash,Sara Cate,Length: 2 hrs and 52 mins
The World That Wasn't,Benn Steil,Length: 23 hrs and 11 mins
Mine to Keep,Natasha Madison,Length: 8 hrs and 2 mins
Slaying the Vampire Conqueror,Carissa Broadbent,Length: 11 hrs and 11 mins
Un-Addiction,"Nzinga Harrison MD,Lynya Floyd - contributor",Length: 7 hrs and 52 mins
Labor of Love,Cara Malone,Length: 5 hrs and 31 mins
"New Marriage, Same Couple","Josh Walters,Katie Walters",Length: 4 hrs and 37 mins
The Fellowship of the Ring,J. R. R. Tolkien,Length: 19 hrs and 7 mins
A Court of Wings and Ruin,Sarah J. Maas,Length: 25 hrs and 9 mins
The Mad Mick Box Set Volume 1,Franklin Horton,Length: 26 hrs and 23 mins
Elon Musk,Walter Isaacson,Length: 20 hrs and 27 mins
The Eye of the Bedlam Bride,Matt Dinniman,Length: 26 hrs and 46 mins
Cold Victory,Karl Marlantes,Length: 10 hrs and 34 mins
The Final Empire,Brandon Sanderson,Length: 24 hrs and 39 mins
Vows & Ruins,Helen Scheuerer,Length: 15 hrs and 51 mins
Opal,Freya Barker,Length: 8 hrs and 13 mins
One in a Millennial,Kate Kennedy,Length: 9 hrs and 26 mins
Forbidden,"A.K. Rose,Atlas Rose",Length: 10 hrs and 50 mins
The Glass Box,J. Michael Straczynski,Length: 9 hrs and 7 mins
A Court of Frost and Starlight,Sarah J. Maas,Length: 6 hrs and 23 mins
Galaxy Under Siege,M.R. Forbes,Length: 8 hrs and 59 mins
The Sacredness of Secular Work,Jordan Raynor,Length: 5 hrs and 26 mins
Iron Flame,Rebecca Yarros,Length: 28 hrs and 16 mins
Doing It All,Whitney Casares,Length: 6 hrs and 46 mins
The Case of the Felonious Faire,Drew Hayes,Length: 7 hrs and 46 mins
Rose,Cebelius,Length: 9 hrs and 32 mins
Inheritance,Christopher Paolini,Length: 31 hrs and 17 mins
Rogue Ascension: A Progression LitRPG,Hunter Mythos,Length: 12 hrs and 27 mins
Goddess Energy,"Nya Love,Kara Lawrence",Length: 4 hrs and 11 mins
Mislaid in Parts Half-Known,Seanan McGuire,Length: 4 hrs and 40 mins
Fall into You,J.T. Geissinger,Length: 9 hrs and 35 mins
A Wreath of Red Roses,Karen Baugh Menuhin,Length: 8 hrs and 44 mins
Neighbor Dearest,Penelope Ward,Length: 7 hrs and 28 mins
Too Wrong,I. A. Dice,Length: 9 hrs and 43 mins
He Who Fights with Monsters 4,"Shirtaloon,Travis Deverell",Length: 22 hrs and 20 mins
Room Mates,Kendall Ryan,Length: 20 hrs and 23 mins
The Running Grave,Robert Galbraith,Length: 34 hrs and 14 mins
Red Rising,Pierce Brown,Length: 16 hrs and 12 mins
Kill Your Husbands,Jack Heath,Length: 9 hrs and 8 mins
The Apparatus,Jack Slater,Length: 13 hrs and 10 mins
Insanity,Dale Mayer,Length: 11 hrs and 35 mins
Pride and Prejudice,Jane Austen,Length: 11 hrs and 35 mins
"Tales from the Gas Station, Volume Four",Jack Townsend,Length: 14 hrs and 41 mins
The Sea of Monsters,Rick Riordan,Length: 7 hrs and 55 mins
Greenlights,Matthew McConaughey,Length: 6 hrs and 42 mins
The Secret,"Lee Child,Andrew Child",Length: 9 hrs and 14 mins
He Who Fights with Monsters 5,"Shirtaloon,Travis Deverell",Length: 20 hrs and 5 mins
"Bible Stories for Kids: Inspiring & Relaxing Bible Stories to Teach Your Child Gratitude, Abundance, and Unconditional Love.",Sophia Winslow,Length: 10 hrs and 7 mins
The Return of the King,J. R. R. Tolkien,Length: 18 hrs and 19 mins
Mockingjay,Suzanne Collins,Length: 11 hrs and 19 mins
Book of the Dead 2: Sacrifice,RinoZ,Length: 16 hrs and 31 mins
Take Control of Your Life,Mel Robbins,Length: 10 hrs and 3 mins
Mind Games,Paul Daugherty,Length: 7 hrs and 31 mins
Hidden in Brutal Devotion,BJ Alpha,Length: 5 hrs and 34 mins
Flame,Adriana Locke,Length: 7 hrs and 1 min
Brisingr,Christopher Paolini,Length: 29 hrs and 34 mins
Upside Down,Danielle Steel,Length: 7 hrs and 54 mins
The Days of Lot,Mark Goodwin,Length: 7 hrs and 10 mins
Third Eye,Felicia Day,Length: 6 hrs and 56 mins
Unnatural Death,Patricia Cornwell,Length: 11 hrs and 48 mins
The Last Olympian,Rick Riordan,Length: 11 hrs
The Return of the King,J. R. R. Tolkien,Length: 21 hrs and 52 mins
Forbidden Desires: The Complete Series,Kendall Ryan,Length: 22 hrs and 25 mins
How to ADHD,Jessica McCabe,Length: 8 hrs and 58 mins
A Dance with Dragons,George R.R. Martin,Length: 48 hrs and 55 mins
He Who Fights with Monsters 8,"Shirtaloon,Travis Deverell",Length: 18 hrs and 12 mins
Will Trent: Books 2-4,Karin Slaughter,Length: 42 hrs and 41 mins
The Way of Kings,Brandon Sanderson,Length: 45 hrs and 30 mins
Secrets and Strife: An Isekai LitRPG,SourpatchHero,Length: 18 hrs and 53 mins
The Complete Dark Days Series,Ryan Schow,Length: 38 hrs and 55 mins
The Lion: Son of the Forest,Mike Brooks,Length: 12 hrs and 15 mins
The Gate of the Feral Gods,Matt Dinniman,Length: 18 hrs and 3 mins
Torrent Witches Cozy Mysteries Complete Box Set: Books 1-10,Tess Lake,Length: 65 hrs and 31 mins
Jurassic Park,Michael Crichton,Length: 15 hrs and 10 mins
I'm Glad My Mom Died,Jennette McCurdy,Length: 6 hrs and 26 mins
Fae and Fare,pirateaba,Length: 61 hrs and 4 mins
Path of Tyrants,"J.N. Chaney,Terry Maggert",Length: 10 hrs and 32 mins
Hamartia,Scarlett Drake,Length: 14 hrs and 21 mins
Jesus in the Old Testament,Tov Rose,Length: 3 hrs and 4 mins
Children of Ash and Elm,Neil Price,Length: 17 hrs and 25 mins
Butcher & Blackbird,Brynne Weaver,Length: 8 hrs and 43 mins
Relight My Fire,C. K. McDonnell,Length: 14 hrs and 36 mins
The Dragon Reborn,Robert Jordan,Length: 24 hrs and 48 mins
"Shōgun, Part One",James Clavell,Length: 24 hrs and 18 mins
"Thinking, Fast and Slow",Daniel Kahneman,Length: 20 hrs and 2 mins
The Nightingale,Kristin Hannah,Length: 17 hrs and 19 mins
A People's History of the United States,Howard Zinn,Length: 34 hrs and 8 mins
The Hero of Ages,Brandon Sanderson,Length: 27 hrs and 25 mins
Kingdom of Ash,Sarah J. Maas,Length: 33 hrs and 11 mins
Ensnared,Rebecca Quinn,Length: 13 hrs and 28 mins
Demon Copperhead,Barbara Kingsolver,Length: 21 hrs and 3 mins
Roar (Revised Edition),"Stacy T. Sims PhD,Selene Yeager",Length: 12 hrs and 25 mins
The David Wolf Mystery Thriller Series: Books 1-4,Jeff Carson,Length: 28 hrs and 16 mins
The Hiding Place,"Corrie ten Boom,Elizabeth Sherrill,John Sherrill",Length: 8 hrs and 14 mins
The Third Law of Cultivation,KrazeKode,Length: 13 hrs and 15 mins
The Infinite and the Divine,Robert Rath,Length: 13 hrs and 21 mins
The Fetishist,Katherine Min,Length: 8 hrs and 46 mins
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,Length: 24 hrs and 21 mins
Silent Grid,Colton Lively,Length: 6 hrs and 27 mins
A Court of Thorns and Roses,Sarah J. Maas,Length: 16 hrs and 7 mins
Spare,Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
Breaking the Habit of Being Yourself,Joe Dispenza,Length: 10 hrs and 49 mins
The Olympian Affair,Jim Butcher,Length: 20 hrs and 23 mins
Oath and Honor,Liz Cheney,Length: 12 hrs and 14 mins
Inheritance,Nora Roberts,Length: 13 hrs and 58 mins
Dirty Filthy Rich,Laurelin Paige,Length: 55 hrs and 30 mins
Dune,Frank Herbert,Length: 21 hrs and 2 mins
Defiance of the Fall 4: A LitRPG Adventure,"TheFirstDefier,JF Brink",Length: 22 hrs and 47 mins
Keep,Anna Hackett,Length: 5 hrs and 20 mins
Induction,Sean Oswald,Length: 12 hrs and 20 mins
Real Estate LLC Quick Launch Formula,Alec Rowe,Length: 4 hrs and 22 mins
Roar (Revised Edition),"Stacy T. Sims PhD,Selene Yeager",Length: 12 hrs and 25 mins
The David Wolf Mystery Thriller Series: Books 1-4,Jeff Carson,Length: 28 hrs and 16 mins
The Hiding Place,"Corrie ten Boom,Elizabeth Sherrill,John Sherrill",Length: 8 hrs and 14 mins
The Third Law of Cultivation,KrazeKode,Length: 13 hrs and 15 mins
The Infinite and the Divine,Robert Rath,Length: 13 hrs and 21 mins
The Fetishist,Katherine Min,Length: 8 hrs and 46 mins
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,Length: 24 hrs and 21 mins
Silent Grid,Colton Lively,Length: 6 hrs and 27 mins
A Court of Thorns and Roses,Sarah J. Maas,Length: 16 hrs and 7 mins
Spare,Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
Breaking the Habit of Being Yourself,Joe Dispenza,Length: 10 hrs and 49 mins
The Olympian Affair,Jim Butcher,Length: 20 hrs and 23 mins
Oath and Honor,Liz Cheney,Length: 12 hrs and 14 mins
Inheritance,Nora Roberts,Length: 13 hrs and 58 mins
Dirty Filthy Rich,Laurelin Paige,Length: 55 hrs and 30 mins
Dune,Frank Herbert,Length: 21 hrs and 2 mins
Defiance of the Fall 4: A LitRPG Adventure,"TheFirstDefier,JF Brink",Length: 22 hrs and 47 mins
Keep,Anna Hackett,Length: 5 hrs and 20 mins
Induction,Sean Oswald,Length: 12 hrs and 20 mins
Real Estate LLC Quick Launch Formula,Alec Rowe,Length: 4 hrs and 22 mins
